message,timestamp
,2025-09-02T15:51:01.120033818Z
[35m[Region: europe-west4][0m,2025-09-02T15:51:03.847700530Z
[35m=========================,2025-09-02T15:51:03.855392474Z
Using Detected Dockerfile,2025-09-02T15:51:03.855424701Z
=========================,2025-09-02T15:51:03.855430396Z
[0m,2025-09-02T15:51:03.855434771Z
context: wm57-juHQ,2025-09-02T15:51:03.855448039Z
[internal] load build definition from Dockerfile,2025-09-02T15:51:04.168960325Z
[internal] load build definition from Dockerfile,2025-09-02T15:51:04.169005797Z
[internal] load build definition from Dockerfile,2025-09-02T15:51:04.169026776Z
[internal] load build definition from Dockerfile,2025-09-02T15:51:04.169040526Z
[internal] load build definition from Dockerfile,2025-09-02T15:51:04.177701157Z
[internal] load metadata for docker.io/library/node:18-alpine,2025-09-02T15:51:04.179979663Z
[auth] library/node:pull token for registry-1.docker.io,2025-09-02T15:51:04.183362447Z
[auth] library/node:pull token for registry-1.docker.io,2025-09-02T15:51:04.183393523Z
[internal] load metadata for docker.io/library/node:18-alpine,2025-09-02T15:51:05.290592336Z
[internal] load .dockerignore,2025-09-02T15:51:05.291072710Z
[internal] load .dockerignore,2025-09-02T15:51:05.291110781Z
[internal] load .dockerignore,2025-09-02T15:51:05.291669374Z
[internal] load .dockerignore,2025-09-02T15:51:05.307516614Z
[5/5] COPY . .,2025-09-02T15:51:05.313712729Z
[4/5] RUN npm install --production,2025-09-02T15:51:05.313769407Z
[3/5] COPY package.json package-lock.json ./,2025-09-02T15:51:05.313787238Z
[internal] load build context,2025-09-02T15:51:05.313812526Z
[2/5] WORKDIR /app,2025-09-02T15:51:05.313827759Z
[1/5] FROM docker.io/library/node:18-alpine@sha256:8d6421d663b4c28fd3ebc498332f249011d118945588d0a35cb9bc4b8ca09d9e,2025-09-02T15:51:05.313838845Z
[1/5] FROM docker.io/library/node:18-alpine@sha256:8d6421d663b4c28fd3ebc498332f249011d118945588d0a35cb9bc4b8ca09d9e,2025-09-02T15:51:05.313882247Z
[internal] load build context,2025-09-02T15:51:05.313909736Z
[internal] load build context,2025-09-02T15:51:05.314291003Z
[1/5] FROM docker.io/library/node:18-alpine@sha256:8d6421d663b4c28fd3ebc498332f249011d118945588d0a35cb9bc4b8ca09d9e,2025-09-02T15:51:05.321374875Z
[internal] load build context,2025-09-02T15:51:06.347688288Z
[2/5] WORKDIR /app,2025-09-02T15:51:06.352223646Z
[3/5] COPY package.json package-lock.json ./,2025-09-02T15:51:06.352299043Z
[4/5] RUN npm install --production,2025-09-02T15:51:06.352328423Z
[5/5] COPY . .,2025-09-02T15:51:06.352362592Z
[auth] sharing credentials for production-europe-west4-drams3a.railway-registry.com,2025-09-02T15:51:06.649757831Z
[auth] sharing credentials for production-europe-west4-drams3a.railway-registry.com,2025-09-02T15:51:06.649814597Z
importing to docker,2025-09-02T15:51:07.054529761Z
importing to docker,2025-09-02T15:51:09.979228014Z
[92mBuild time: 7.83 seconds[0m,2025-09-02T15:51:11.688521906Z